Placa,Chassi,Tipo,Ignição,HR Evento,HR Recebimento,Velocidade,Tensão,Sinal,Hodômetro,Endereço,Lat/Long
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:48,21/07/2025 09:48,26,14.09v,10,6667105,"Rua Paschoal Bordignon, Curitiba - PR","-25.443752, -49.24526"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:48,21/07/2025 09:48,24,14.23v,10,6667246,"Rua Maurício Nunes Garcia, Curitiba - PR","-25.444412, -49.24644"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:49,21/07/2025 09:49,31,14.23v,10,6667586,"Rua José Ananias Mauad, Curitiba - PR","-25.444408, -49.249367"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:49,21/07/2025 09:49,15,14.23v,10,6667595,"Rua Chile, Curitiba - PR","-25.444424, -49.249763"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:52,21/07/2025 09:52,9,14.16v,10,6669005,"Rua Chile, Curitiba - PR","-25.449356, -49.26216"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:55,21/07/2025 09:55,30,14.16v,10,6670933,"Avenida Água Verde, Curitiba - PR","-25.453062, -49.280334"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 09:57,21/07/2025 09:57,16,14.09v,10,6672144,"Rua Herculano C Franco Souza, Curitiba - PR","-25.453808, -49.29143"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 10:00,21/07/2025 10:00,17,14.21v,10,6672869,"Avenida Sete de Setembro, Curitiba - PR","-25.44818, -49.29415"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 10:03,21/07/2025 10:03,25,14.09v,10,6674223,"Rua Cel Feliciano Ribeiro, Curitiba - PR","-25.450943, -49.30641"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 10:04,21/07/2025 10:04,16,14.06v,10,6674710,"Avenida Nossa Senhora Aparecida, Curitiba - PR","-25.447624, -49.3086"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 10:04,21/07/2025 10:04,7,14.2v,10,6674724,"Avenida Nossa Senhora Aparecida, Curitiba - PR","-25.447662, -49.30869"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 10:07,21/07/2025 10:07,0,12.84v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,IGNICAO_OFF,OFF,21/07/2025 10:08,21/07/2025 10:08,0,12.91v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 11:08,21/07/2025 11:08,0,12.91v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 12:08,21/07/2025 12:08,0,12.87v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 13:08,21/07/2025 13:08,0,12.87v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 14:08,21/07/2025 14:08,0,12.84v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO_EM_SLEEP,OFF,21/07/2025 15:08,21/07/2025 15:08,0,12.84v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,IGNICAO_ON,ON,21/07/2025 15:22,21/07/2025 15:22,0,13.91v,10,6674750,"Avenida N Sra Aparecfida, Curitiba - PR","-25.44779, -49.308716"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:23,21/07/2025 15:23,15,14.2v,10,6674750,"Rua Adolfo de Oliveira Franco, Curitiba - PR","-25.449186, -49.309216"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:23,21/07/2025 15:23,24,14.2v,10,6674947,"Rua Gal Daltro Filho, Curitiba - PR","-25.449097, -49.308765"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:24,21/07/2025 15:24,37,14.09v,10,6675533,"Rua General Mário Tourinho, Curitiba - PR","-25.450281, -49.304382"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:24,21/07/2025 15:24,6,14v,10,6675626,"Rua General Mário Tourinho, Curitiba - PR","-25.45085, -49.30465"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:25,21/07/2025 15:25,23,14.09v,10,6675796,"Rua Dr Edmir Silveira D Avila, Curitiba - PR","-25.452187, -49.30473"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:25,21/07/2025 15:25,17,14.06v,10,6675834,"Avenida Pres Arthur da S Bernardes, Curitiba - PR","-25.452433, -49.30453"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:25,21/07/2025 15:25,19,14.06v,10,6675849,"Avenida Pres Arthur da S Bernardes, Curitiba - PR","-25.452427, -49.304382"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:27,21/07/2025 15:27,24,12.95v,10,6676854,"Rua Leôncio Correia, Curitiba - PR","-25.449326, -49.29573"
TBI9A63,2180169507,POSICAO,ON,21/07/2025 15:29,21/07/2025 15:29,14,12.93v,10,6677766,"Rua Sainthilaire, Curitiba - PR","-25.447058, -49.286777"
